source	target	Weight	edge type
YAL005C	YDL020C	1.0	PPI
YAL005C	YDL021W	1.0	PPI
YAL005C	YDL024C	1.0	PPI
YAL005C	YDL025C	1.0	PPI
YAL005C	YDL028C	1.0	PPI
YAL005C	YDL031W	1.0	PPI
YAL005C	YDL033C	1.0	PPI
YAL005C	YDL035C	1.0	PPI
YAL005C	YDL039C	1.0	PPI
YAL005C	YDL040C	1.0	PPI
YAL005C	YDL042C	1.0	PPI
YAL005C	YDL045C	1.0	PPI
YAL005C	YDL047W	1.0	PPI
YAL005C	YDL054C	1.0	PPI
YAL005C	YDL055C	1.0	PPI
YAL005C	YDL058W	1.0	PPI
YAL005C	YDL059C	1.0	PPI
YAL005C	YDL060W	1.0	PPI
YAL005C	YDL061C	1.0	PPI
YAL005C	YDL063C	1.0	PPI
YAL005C	YDL064W	1.0	PPI
YAL005C	YDL067C	1.0	PPI
YAL005C	YDL070W	1.0	PPI
YAL005C	YDL072C	1.0	PPI
YAL005C	YDL074C	1.0	PPI
YAL005C	YDL076C	1.0	PPI
YAL005C	YDL077C	1.0	PPI
YAL005C	YDL078C	1.0	PPI
YAL005C	YDL079C	1.0	PPI
YAL005C	YDL080C	1.0	PPI
YAL005C	YDL082W	1.0	PPI
YAL005C	YDL085W	1.0	PPI
YAL005C	YDL087C	1.0	PPI
YAL005C	YDL090C	1.0	PPI
YAL005C	YDL091C	1.0	PPI
YAL005C	YDL092W	1.0	PPI
YAL005C	YDL095W	1.0	PPI
YAL005C	YDL097C	1.0	PPI
YAL005C	YDL100C	1.0	PPI
YAL005C	YDL101C	1.0	PPI
YAL005C	YDL103C	1.0	PPI
YAL005C	YDL104C	1.0	PPI
YAL005C	YDL105W	1.0	PPI
YAL005C	YDL108W	1.0	PPI
YAL005C	YDL109C	1.0	PPI
YAL005C	YDL110C	1.0	PPI
YAL005C	YDL115C	1.0	PPI
YAL005C	YDL116W	1.0	PPI
YAL005C	YDL122W	1.0	PPI
YAL005C	YDL123W	1.0	PPI
YAL005C	YDL124W	1.0	PPI
YAL005C	YDL126C	1.0	PPI
YAL005C	YDL127W	1.0	PPI
YAL005C	YDL128W	1.0	PPI
YAL005C	YDL131W	1.0	PPI
YAL005C	YDL132W	1.0	PPI
YAL005C	YDL134C	1.0	PPI
YAL005C	YDL135C	1.0	PPI
YAL005C	YDL137W	1.0	PPI
YAL005C	YDL139C	1.0	PPI
YAL005C	YDL140C	1.0	PPI
YAL005C	YDL141W	1.0	PPI
