source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YJL187C	YJL187C	0.2914659443161352	0.2754140715778861	0.2284115098606916	0.12555647720324872	0.08910383909013833	0.1801945141063511	0.3025170314094601	0.3702466190128757	0.3864957532011925	0.3191652378967471	0.15005058958265546	0.08097465673614918	0.09676309279537194	0.11761953458530901	0.14296213211822226
YDL179W	YDL179W	0.3659861947422599	0.4453026321655953	0.4996189150207721	0.5179086517543415	0.5371926983011749	0.5431307004455563	0.5784132211272971	0.4595962390728585	0.4502187143080658	0.5867340885707598	0.5747572180634772	0.5575776871390642	0.5108384405074874	0.4537481470602736	0.4267845761001161
YBL097W	YBL097W	0.14415544597468147	0.02598856710381468	0.07065726128345216	0.15500613464932048	0.2437372644774064	0.24802020264186256	0.2291348583551393	0.1704112952584697	0.06044994209427329	0.0901609224836082	0.14267851358151007	0.1205111937038718	0.14234843627357718	0.13699548945699622	0.09978424952918588
YMR001C	YMR001C	0.4613703005154718	0.3381065373721557	0.1802482557343844	0.20175543579678626	0.34946418233013554	0.4068754499512825	0.4452320499590576	0.4545906908766349	0.39399760811505785	0.2954289236545634	0.14882494183093936	0.08348744781192766	0.18341788080782087	0.2718829767271842	0.3042102504387652
YDL056W	YDL056W	0.06430058246296927	0.07570102945118486	0.08923386582356795	0.1358839703002509	0.17044552457487175	0.16130787734948418	0.15852414816710292	0.12023938823087454	0.07378417806219735	0.0479823305321006	0.06920138162598098	0.11812392343608084	0.14886528555752646	0.1395006485893446	0.10537123662382597
YGR098C	YGR098C	0.0971552885778008	0.22021653547062456	0.27536170826500633	0.2818876485635031	0.29159827101737457	0.27014527541437666	0.1597096252020319	0.110056536340563	0.23476059039905564	0.3277391140000421	0.32922458810970323	0.28217684669848536	0.1860526720172646	0.10237946043823744	0.06977461751771942
YJL074C	YJL074C	0.3879469378629675	0.3106691835703898	0.18270796990413585	0.13611093189539294	0.2882820673165329	0.41435057731342817	0.4907224985273106	0.4913561225323796	0.3959830757540501	0.2098496769599316	0.1323714812390467	0.2161089622712636	0.24005259651137506	0.22509982550894467	0.19043109205483874
YJL030W	YJL030W	0.09005459776862984	0.08121831216136745	0.08023028281657889	0.05062170264095539	0.0526370058098139	0.04220312496760323	0.016481216092608882	0.02741791585884435	0.06661667763834844	0.08527796516264287	0.06934742573008007	0.061019594806916565	0.06166749131103541	0.06300473805698169	0.03767551014604376
YHR152W	YHR152W	0.20414945842183185	0.3420743334420319	0.44233368437802295	0.4337998776399243	0.3411805807232002	0.15892190251385102	0.2326471442082247	0.38677453889810337	0.4265866706478768	0.3860767893011236	0.3092530281247937	0.27687113636196675	0.19367151733984486	0.10022518183112747	0.03487081676113872
YIL026C	YIL026C	0.373138470809408	0.3155954209886808	0.2178522264901667	0.09582526189578078	0.16432132831983462	0.3115465396909192	0.4344005044468289	0.4646017670127372	0.3888453938311381	0.25850455922198723	0.1396089710895952	0.12483058107413225	0.17319713239697945	0.16776383740663106	0.1448525627194029
YFL029C	YFL029C	0.028734829736996863	0.023510942456024145	0.031838276684359464	0.05116905157491435	0.06877377892860695	0.06715780530922642	0.06479461078710674	0.07063023745313039	0.07934768395418948	0.06786584068013347	0.030033456110660838	0.026329398659263932	0.03421039001721859	0.028890540955498492	0.05065002561762602
YDL132W	YDL132W	0.13771054668926094	0.15764108191561066	0.15095822768601613	0.0736570526236565	0.036206575555185236	0.050683841731350085	0.0657530423411802	0.1210998199327689	0.09776715555854262	0.05542896956959298	0.06439910247540911	0.04706367678123245	0.06133547064976101	0.06458151371611986	0.04435717302178201
YGR092W	YGR092W	0.3308966577640789	0.4097730661498704	0.4565856675716548	0.4504525210931497	0.34652942277233506	0.20684978045490526	0.3033051695852406	0.4232685768014726	0.4559128379333476	0.4193190308914113	0.35414294753334497	0.3092526815929504	0.2129939661033579	0.12999682839890725	0.06978851485957611
YBL016W	YBL016W	0.1821143696223976	0.14595308053319414	0.18651202868920844	0.19573456886638596	0.16195150557674753	0.1937978833212521	0.2445945720895296	0.2575512716603794	0.16756839772880286	0.1383899959013712	0.18509521601921106	0.19612718069987803	0.2415697933410388	0.2844176175843812	0.3029052122555411
YDR325W	YDR325W	0.05094952813896228	0.11239740382996656	0.1846087964259771	0.2320822555186283	0.2790960357707202	0.28336187984548217	0.2346704857535944	0.15521728124119094	0.1209868124384978	0.217318763213544	0.2528855371357057	0.23422190205822704	0.2283367284210949	0.18480176215167185	0.14955712402685906
YDR507C	YDR507C	0.33663398292072444	0.2666345841933789	0.19528540923077206	0.10981689274620282	0.09489754060558334	0.20860734693480532	0.3722983867610679	0.4490771273974948	0.42070495639539895	0.30944946160806336	0.16650793168995726	0.133518043567685	0.14280850273636378	0.11143620728094927	0.13179270838512985
YLR272C	YLR272C	0.16041993312751598	0.2206164497608712	0.2455118450898561	0.23203435627540844	0.2127108270571289	0.1626394449046552	0.10117269257587866	0.10715588143564997	0.2153395338851659	0.26701392382250977	0.2278151520428085	0.2150333673773568	0.16936066637868444	0.0944102579116574	0.07720640432399845
YAL016W	YAL016W	0.029216283704852568	0.04651884000443965	0.04838420228243713	0.05163657201263015	0.07042713554173474	0.05930905117309108	0.027922720924478	0.015120842928278025	0.035692275143528594	0.029025953498949018	0.0036521019748842905	0.007557372208085484	0.029739563377084995	0.040164123050654615	0.024001630647550943
YDR499W	YDR499W	0.13439168876315216	0.1181957383916758	0.11717586970279212	0.061201436849296874	0.022919936374833583	0.06336360748814875	0.1438613919219602	0.12859708582788118	0.18147676320905606	0.20048141323344498	0.088494898612958	0.051932954221697004	0.06269311677064775	0.07843505497188608	0.04133272472777779
YFL009W	YFL009W	0.04715358561128978	0.04204845604282317	0.03290680581920296	0.03471212230938005	0.04576184578023244	0.03814495161918236	0.04517350337812095	0.032913800734235665	0.040174817169672944	0.0675325409203432	0.039112130694060346	0.030751543305149474	0.03507072267794715	0.04445204080593156	0.04737403614682528
YLR210W	YLR210W	0.10551145256288616	0.12162545222396168	0.21996618427333406	0.25340886985958283	0.2675903555854517	0.2603482128323461	0.19058457414076352	0.07737533557643693	0.1385095888522288	0.21107285343589605	0.21142548474677966	0.23506537145602896	0.17332292503478855	0.10615496786842976	0.08571178037342203
YDL134C	YDL134C	0.06644298397745657	0.0917025178250953	0.06357831491045222	0.013536491255234751	0.013243627436783615	0.04316534191273942	0.05934044554187659	0.060221446964237216	0.0725657058046649	0.06859167420024845	0.034371080590307364	0.004329295864975365	0.011523266446371808	0.015984627733665806	0.01618819943344774
YHR118C	YHR118C	0.10178906328740177	0.06178569226665296	0.03918055928811065	0.03552340932994765	0.06698928993546174	0.060428910200191775	0.057440590633415625	0.048234243168709084	0.013960573201057392	0.04306889341536441	0.05835353279679159	0.04868409197299618	0.032692909164171384	0.013071385122239107	0.043262920916807474
YNL289W	YNL289W	0.4149915876804429	0.3769646436632111	0.33977838761138723	0.2108521306447812	0.14808553856616044	0.2584719583877943	0.43229160416167184	0.5314069851170635	0.566643571822095	0.4833575671861265	0.24939862572423305	0.12326042002580125	0.18917092963882312	0.2805134593894645	0.2883488116125019
YLL004W	YLL004W	0.040529273874730286	0.08984290044937239	0.19324095511584224	0.20982693444549888	0.187457895892719	0.13968365924292905	0.06219492037738065	0.05382641964734417	0.1417570530094649	0.13243044094055725	0.0906782874758944	0.12093071449769788	0.11263926025199462	0.11255896218361086	0.08216597186934822
YBR135W	YBR135W	0.04358190623526839	0.08447629930656228	0.08597622923275726	0.03461379257530711	0.0383414624695806	0.07442171345278678	0.08769562617916485	0.07894663166966254	0.10065581377770126	0.10326832261837623	0.081673376640428	0.0497570888643866	0.029593973149766258	0.040039899193326005	0.018850012299373612
YLR127C	YLR127C	0.03042431753584747	0.013696226541104495	0.04084521047278465	0.06705084782456744	0.04668697405895264	0.02919551849532412	0.030823915080028224	0.05012650001216026	0.060277572131466374	0.04604324504746876	0.05550145029774488	0.07153340821658041	0.05687376111761878	0.05559815109855268	0.07160294887486507
YMR199W	YMR199W	0.3301029692462387	0.2976580939637318	0.2854519564021113	0.2218663039374652	0.09228316143311636	0.12219067380373963	0.3446662273334811	0.4685315726765106	0.5088700516217508	0.4093983375836071	0.15947327386756333	0.08944100052149191	0.14258748919183545	0.15972578260413012	0.1557101930704396
YER173W	YER173W	0.07663991516354123	0.05729033990117709	0.03527695870645785	0.02454622463639561	0.03509018570139213	0.03979869210856105	0.03320647496447793	0.035452510830721574	0.03517992799987327	0.06578905598870871	0.07711598119543818	0.08569831969985067	0.07948048054209296	0.051883227834699695	0.06070904407914113
YBR060C	YBR060C	0.01870495929720144	0.028458828713765264	0.040021256420375004	0.029819038055847	0.02398946784558589	0.01998028012658969	0.05741598558785632	0.11072277554543887	0.08447160748862917	0.07810974802124394	0.07097288193120946	0.014880766219363687	0.026168626866922368	0.02467133849621752	0.016739084142521274
YFR036W	YFR036W	0.16452022690882953	0.16698877070512286	0.2298298615277617	0.18702485650504586	0.06367905214012645	0.05971339942108885	0.1746919582055114	0.2432830719851679	0.16567243276658558	0.12704365367498385	0.11169143982978068	0.06237553670925115	0.0912534231584602	0.05924901398116944	0.0653029997991083
YGR040W	YGR040W	0.1801073020652918	0.1735035883735053	0.15978860982832768	0.07284463805878277	0.008866749763250519	0.02092984218382474	0.07472254030778112	0.07342333073350084	0.05756764067379148	0.07397172205728628	0.08303328245676818	0.13391955835491584	0.16256852111101536	0.15150060875017266	0.13938807981550666
YFR028C	YFR028C	0.08945552961824417	0.08782662198224707	0.1488733672138298	0.1984127950976875	0.21899951593899245	0.19315787600194365	0.1413704241659468	0.07720823912310522	0.05913903035600707	0.092332551332311	0.1124704927237938	0.1562977622342539	0.16671781850522124	0.11178157173360014	0.09573995888891143
YDR113C	YDR113C	0.3114351083356903	0.3707762076262181	0.3962197594800305	0.3506483001013753	0.27773024647644706	0.13890337733713354	0.16543510584279794	0.3862929989767087	0.5078787255247442	0.5118249441861897	0.3952652011903015	0.2448551784498607	0.13004171456746744	0.08414751496455601	0.1473897419761122
