Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YHR215W	True	0.2432084013299386	0.13174901021135965	0.15306143075138254	0.10863302094400436	0.15739428483968035	0.15114000159303387	0.0902855733705928	0.03402039024563571	0.14840026991073574	0.1751035338307358	0.18108492418690816	0.1804108746227196	0.1343910935676134	0.13589697725261912	0.08561461548820624	0.047840256957610884	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YDR325W	True	0.024609378586447773	0.029075361740431745	0.09755496168917123	0.1288502234744653	0.1733725825311045	0.21377473475283146	0.18162968468327828	0.1249970445689794	0.058739291170988014	0.07890006868222542	0.1987592809986416	0.13972370883157909	0.16613761403435176	0.1297644158159141	0.09693107194599047	0.07892685837734192	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBL097W	True	0.1670864209273006	0.00135006125473929	0.025331932637815625	0.05069734949875341	0.1327431948713429	0.18954858684520398	0.14027437317740504	0.15696939356785813	0.048447211412996405	0.01589203436281382	0.08320342626492983	0.08322015676873214	0.053803979116966785	0.11217069205961848	0.046571803238347496	0.06427301310373335	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YCR084C	True	0.03347444668443905	0.05663675040303837	0.11602050402613402	0.1362890965276174	0.12871065016832395	0.12116809039503955	0.0753608677162868	0.005300341663428219	0.036934363633448965	0.08804621515900499	0.1561299801906878	0.08455837322699036	0.07865199021416787	0.0827708175894694	0.05576532294099877	0.0052092200671141715	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YPR162C	True	0.040392569215405266	0.08427650804990909	0.028216233654629882	0.01930405765361373	0.04887046465496372	0.08512165848210128	0.06420231488765543	0.08852696444330002	0.07511715899487897	0.07688337607441742	0.04594086817214569	0.031141148969949163	0.002191563678731859	0.054681261007976704	0.0409701551200948	0.030634682512128912	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YGL086W	True	0.03564422842617086	0.025678948286724724	0.03875207268149671	0.018535810389607905	0.013717389985452804	0.03190713640906472	0.03595082503728747	0.11959176887410305	0.08059655542441947	0.00730910603493098	0.034554110731987026	0.002501727056803633	0.011777957520188993	0.011182906481943648	0.035387351764129216	0.04706177160703432	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YEL032W	True	0.1536489597209533	0.008828280659195342	0.2061416374774998	0.3020441567643338	0.4152771980714636	0.3856421790182511	0.2637792646319483	0.10264190469821184	0.07635994174227974	0.25591834058488505	0.2261287006907559	0.2438200108861321	0.2184610893134388	0.17978900759749514	0.12112695595137175	0.10379362676876212	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False
YJL074C	True	0.3667553575095309	0.26708991157289075	0.18359236777086652	0.039960491153629686	0.11759553880519773	0.28745547098121016	0.4200506944183253	0.5435153321747936	0.4224967330420116	0.23308601614733004	0.032495950778335725	0.12007105039410655	0.1556164519115998	0.1602640885171014	0.13022471625931697	0.10500058721508253	True	True	False	False	False	True	True	True	True	False	False	False	False	False	False	False
YLL004W	True	0.03941135910835868	0.002829923268649187	0.09588149753302404	0.14364597518789182	0.12189956615279353	0.10880588891857676	0.053557247320366035	0.01276241945133498	0.04412610583097326	0.12104513560659627	0.03160019358652216	0.06812060514398277	0.06944615607961954	0.05749123838295514	0.06934418773230551	0.020177413506096236	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBR136W	True	0.027568610577931082	0.03263424341033045	0.021867193586094857	0.018290536104226846	0.002518688646252827	0.008116795056807591	0.0011127103638182262	0.0423292376433903	0.009144234342384936	0.011234212804220071	0.035284265147994084	0.02313061399902224	0.07003265582628798	0.01864223154734091	0.026778198076181776	0.022586993644878917	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
