	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min
YJR006W	6.42648479095223	6.41454227746851	6.29827419191739	6.1326536498955	5.96917242602005	5.81337222656883	5.55253398818709	5.44351131612462	5.45973256534954	5.45171098812032	5.59582417198657	5.90134799366602	5.95709112431301	5.9890332383557	5.93364611884587	5.92288802308269
YJR007W	8.42131364879675	8.41915474972815	8.30397219015727	8.59781032131229	8.51296568823613	8.52220353550618	8.36638912539027	8.19708447743318	8.1636621163898	8.18509059107442	8.44238886614786	8.14662494834351	8.22003237686281	8.30332715724739	8.25533527725889	8.24428790785877
YJR008W	3.38086338791414	3.09153275815017	3.12887209978566	3.42878754638548	3.68256951775659	3.39521195867271	3.66674614924932	3.8912902770533	3.99956218820255	3.6974440893071	3.90347388577411	3.95416425629684	3.78599585851877	3.41464825261774	3.59026031049273	3.6248385562264
YJR009C	10.4710243366052	10.6523228913668	10.7165875270072	11.0594858179581	11.1749235317147	11.3880466753533	11.4261151878577	11.2997197480879	11.09343336276	10.8971588965892	10.8739215159643	10.8387656689466	10.947719159498	11.0417699996569	11.3149860977479	11.4165862622793
YJR010W	5.49188259888635	5.42378755284537	5.7534416680714	6.26150168054182	6.4033374059775	6.25480843865643	6.04493382200144	5.69630082150509	5.36602587381194	5.3170768863966	5.32240363021591	5.26366050129533	5.37226101262528	5.55015001769891	5.57356923034629	5.64956042576862
YJR010C-A	5.07962453591215	5.14919040695167	4.90424048176393	5.2245866836899	4.99944681025842	4.94393278744863	4.92102171730879	4.74351649187523	4.72564400494585	5.07383752919204	5.29378783327182	4.92002591496213	5.19160196000795	5.4044798853381	5.55419282950952	5.36155895280276
YJR011C	3.94775941470819	3.98594662642111	3.93657905793028	4.09051832429247	4.11144731578888	4.10510869647722	4.14301068862128	4.1768371403804	3.96256041159416	3.89292746840865	4.08978196343928	3.97410205298201	4.06552293494437	4.01089497889244	4.11149793682554	3.65691752924745
YJR012C	3.5085812400472	3.80733412196312	3.89739554341233	4.06596471959389	3.63703687641086	3.87546674258433	3.81520832691006	3.79903475437752	3.97500008119292	4.02986103656545	4.57320632972427	3.96416759647936	4.07069965263655	4.26191774755917	4.20143086412956	4.04412663654053
YJR013W	5.69529397449302	5.86939753175362	5.91910827305268	5.94881340210776	5.89926284259382	5.78646896531247	5.78012028318241	5.83129883717402	5.79050620975865	5.69392557895008	5.97500632773344	5.61586876698505	5.5807538543626	5.68513847295239	5.67348027733585	5.67719531281407
YJR014W	6.68897101093804	6.60300207455117	6.57876685231216	6.52015185932041	6.5838739550423	6.57771038797453	6.53755322216704	6.71901052283844	6.84577941761394	6.78473076701261	6.91009891863273	6.99309236537881	6.92229881094739	6.73866436630874	6.6950273458475	6.69767560755375
YJR015W	7.23597146494876	7.5136274488617	7.61246461937168	7.72014249099244	7.77679693803285	7.67670751368843	7.64748506630559	7.63293019750684	7.532624053799	7.52258986103805	7.50041626797095	7.32833952317852	7.36723759819679	7.50437910251015	7.6639202825341	7.52272399621686
YJR016C	10.0117572810036	9.87889424162018	9.69752200050326	9.69395438808354	9.63262316189829	9.66854756299224	9.63215907596123	9.46102099499994	9.40112227338105	9.48384622091354	9.57922378567345	9.63852763489645	9.63779927980065	9.70337189505224	9.72693162612999	9.67566644334009
YJR017C	6.28261118932494	6.28288679582449	6.19702979668701	5.99896280268814	6.02957127054256	6.1239177990851	6.23345334182347	6.26861916498894	6.16632785755445	6.32923928980505	5.30816667972563	5.91172299856397	6.00655087503681	5.20921240162834	5.35863942129086	5.78090887746208
YJR018W	5.27430792511728	5.36666094253166	5.03936795942378	4.98369630903453	5.00201474124898	5.18445880622823	5.29104478004242	5.26189595955507	4.98748034388845	5.38828162718644	4.21715551965131	4.97547799130311	5.02558895062562	4.28335743290055	4.30938690187381	4.7419976344456
YJR019C	4.69179950193947	4.72461502446632	4.64510605019263	4.73230328330449	4.46414054766146	4.78651889178451	4.7029936240527	4.69996269975587	4.66551551587622	4.79514418368855	4.59682453962582	4.93790201902646	4.84099089182171	4.62867957763971	4.7492608311334	4.79340982814635
YJR020W	2.41647611428084	2.71366775007258	2.37623741260132	2.66482569320462	2.57155332259366	2.61014027334989	2.51037038292404	2.54366892684839	2.37699982438104	2.79122646503385	2.12289456693175	2.73473884650808	2.7424751071689	2.77272314761102	2.81577037886432	2.64016770896268
YJR021C	3.73440364451441	3.71880288580028	3.84343836492041	3.89807625219695	4.06799116088755	4.04961986356015	3.83953746708126	3.93818264175595	3.89215613456189	3.99986131072754	3.94086566221966	3.99864296414695	3.93535937811665	3.95854697675572	4.04364476461445	3.92404349451491
YJR022W	2.75550034315541	2.56197588652827	2.35711013422699	2.54201762249552	2.47133819304501	2.44792257499434	2.02919161420738	2.71502446050945	2.6649644067403	2.49691668940934	2.72573274899331	2.78074565066795	2.63475067498181	2.66794627265036	2.62465716492266	2.67191133847988
YJR023C	3.56452215798065	3.32365799493174	3.14010572354961	3.38974948953908	3.25318713117563	3.19495231790301	3.1488723559478	3.50408463886352	3.62643278501433	3.4712585593213	3.7220699337041	3.52474063242343	3.65426531501476	3.70679888333252	3.61851992540804	3.81454057809571
YJR024C	6.81292430546695	6.91763047713407	6.92891602850443	6.95331065135039	6.8507154694395	6.75383020795335	6.88815579788262	6.80769952026727	6.83131364731634	6.98636921395701	7.0546188316852	6.92750242799459	6.91079852983334	7.04200879548507	6.98188578714912	6.93364835389549
YJR025C	8.09247415207529	7.87173032282827	7.56584645218513	7.26943138898292	6.85498314371016	6.47509116148916	6.08999347044881	6.01885948073589	5.97212297685323	6.06232985994501	6.33590244766519	6.49390720765495	6.65398414256436	6.82769552613155	6.90653255828925	6.8819960472963
YJR027W	2.54915502210103	2.32549228996597	2.48596317935351	2.36009995918077	2.12063195987851	2.39547386081976	2.28089335591564	2.04085548009432	2.33900804556434	2.03507765317719	2.92547961229564	2.09889112640184	2.2888193602744	2.77272314761102	2.56782046150843	2.52321914601976
YJR030C	7.1107229897701	6.7044672181725	5.92236519016361	5.56490327827558	5.0794348175455	4.58269202031238	4.29589229972082	4.26224255265657	4.16069827897957	4.48015157948669	5.19666071440019	5.88695943032779	6.11826338384395	6.13768844482143	5.92424324708749	6.0170379378431
YJR031C	5.83506555478947	6.31343931649431	6.50465367554238	6.47982724361138	6.39847267586326	6.38940616453241	6.3712487458604	6.11510554329394	5.9375827591019	5.71808068393178	5.50199989867646	5.5359652463689	5.51771080385658	5.71962412321006	5.81655273182115	5.91129872340931
YJR032W	5.98754782163559	6.05390188529349	6.18487704289743	6.1456001805412	6.2345426097899	6.2706686990033	6.40220458526993	6.24433567173523	6.20776241388875	5.89638363602578	5.85036439516017	5.92074032425036	5.81625574618841	5.81839482090106	5.64399758716795	5.81329395091042
YJR033C	4.92030479631236	4.96626553060271	5.08658395219708	5.16109069410922	5.06231245089524	5.12932020454725	5.31293068222299	5.21981488824217	5.24027002792623	5.28758093693358	5.09251962465591	5.31145971965712	5.27469897922834	5.3411463035748	5.41611844512428	5.46029948041576
YJR034W	3.84824518866641	3.46255335876829	3.57203276214552	3.66291552826325	3.36912036754922	3.58671085217374	3.62536619058656	3.93240377373542	4.03563863821543	4.1872220933536	4.0128617133676	4.28465566765589	4.18012646432683	4.23282669626324	4.16357250424965	3.89743706359788
YJR035W	3.8674345022162	3.65206566094026	3.43280882391617	3.55413106500404	3.51289451933425	3.76266218466516	3.85751880478551	4.22017173851666	4.37767265425396	4.48015157948669	4.36202319730753	4.19405706344247	4.07069965263655	4.31145688759068	3.94294707720727	3.84270531243926
