	0min	5min	10min	15min	20min	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min	105min	110min	115min	120min	125min	130min	135min	140min	145min	150min	155min	160min	165min	170min	175min
YLR152C	5.77798117800556	6.34239280469835	6.94667812695788	6.75692541450096	5.87470808127443	4.97890063086433	4.80462369306241	4.87264000572168	4.94239973682586	5.09020684556671	4.88001863359715	5.07034281321365	5.14981684128203	5.13447425526111	5.21352277507497	5.21186651445575	4.97288526216005	4.95049284922218	5.2370383864085	5.29190389360182	5.13905764243864	5.38176822155227	5.40793753031549	5.33014978489022	5.65170755707764	5.60119366725308	5.59109345164846	5.42281218676385	5.22045791525206	5.29650578676546	5.26970845867704	5.23594174275376	5.26800249793394	5.35688709648355	5.4430456709404	5.42842639030587
YLR153C	10.1112142155653	9.71979244968997	10.2272790454768	10.5159201644706	10.4373151838808	10.1295778827709	9.85946091941871	9.55394481331445	9.57752375041849	9.51584455831926	9.52743417113625	9.55713561576708	9.4342762781647	9.47397145382974	9.4474798709414	9.7248454808855	9.73421779782784	9.83539055236065	9.95050453065714	9.94914182810814	9.83322935250949	9.77931467078484	9.76348022244263	9.6602309265759	9.61161981945865	9.60869777757589	9.59385597159032	9.62870299581506	9.58586644541531	9.14877094831395	9.46216110377981	9.51752115009379	9.65619178087954	9.65702585002891	9.60174024187293	9.4040500795934
YLR154C	4.24092731945588	3.92256444025993	4.14412153713425	4.32370796755639	4.67812304800996	5.03848060606404	5.28638773208211	5.17181815887496	5.16314474697294	4.84825048603769	4.4942456949611	4.55891216719262	4.26657639850448	4.08370731946118	4.5699312500207	4.45523723388916	4.7486127930084	4.78828710117991	4.87017853476311	4.92408068461364	5.0370914211702	4.91071856659201	4.83661794949883	4.77337480576604	4.66211259300996	4.46789283882972	4.57992850595719	4.49080531497252	4.51835881850657	4.91429147909873	4.85198871528639	4.86981949438772	4.76696003906922	4.73330598477491	4.88233209461995	5.07833779281632
RDN37-1	0.0565022343530114	0.0126047754319978	-0.65606546036525	-0.187310112912976	0.852879469194423	0.829908378701893	0.240059652335602	2.23944253206394	-1.07669831878602	-1.48351420988002	-0.24867422824941	-0.722345977073911	-0.214349672757291	0.102404661153027	0.347241394893175	-2.92802418975638	-0.363448822527109	-1.0288439622178	0.348405225942674	-0.929635996257794	-0.28910266584427	0.771988099069011	-0.606661197414339	-0.532383891479365	-0.745684800669872	-0.90828531556404	-1.52712338554679	0.06175129361687	0.306238461681195	-1.22951851901212	-1.71511843640652	-0.695411648707529	-1.95615877939563	-1.01751683135336	-0.956754492782453	-1.0011469304522
RDN25-1	-0.440082606165046	-1.23835835063326	-0.974819248951352	-1.086597950369	0.236445753717537	-0.166229208995328	-1.05506130012836	1.31862404161374	-1.4744393765787	-1.48351420988002	-1.1384519616777	-1.43927438567558	-0.693338296469095	-0.314067370024487	-0.734305425520348	-2.92802418975638	-0.976602383391883	-1.99444855899341	-0.163968494153764	-1.79169271030045	-1.56704328935384	-0.0574103806781473	-1.48789771356267	-1.28137627052406	-1.17988085056755	-0.90828531556404	-1.86191703320911	-0.398538343008403	-0.604661934373059	-1.50351346165075	-2.40260992610861	-0.844857614932498	-2.36175698799092	-1.98706494794034	-1.36857133585573	-1.23120670813354
RDN18-1	-1.47982959516859	-0.481334010922594	-1.9590516443781	-0.892270246823168	-0.536104901867938	0.0254512348632606	-0.266803374659065	1.23833378757229	-2.02541893314822	-2.92802418975638	-0.946701798269915	-1.43927438567558	-1.4153922155354	-1.31981980446166	-0.317583293997622	-2.92802418975638	-1.32004127184768	-1.43232497346096	-0.965839409889357	-1.44397880073714	-0.879371153006369	-0.187660785298425	-1.21230853672049	-1.28137627052406	-1.80394103095313	-2.92802418975639	-2.29865541078365	-1.47602138917443	-0.604661934373059	-2.28517338104777	-2.01829436074301	-2.37960693358334	-2.36175698799092	-1.67724058413544	-1.94711401351429	-2.28605042793922
RDN37-2	0.0565022343530114	0.0126047754319978	-0.80665688867991	-0.0798791907588317	0.736858668757667	0.880401080531928	0.240059652335602	2.25992224465967	-0.765248508050705	-1.48351420988002	-0.24867422824941	-0.722345977073911	-0.32002452723246	0.102404661153027	0.347241394893175	-1.23089510828267	-0.466978220342784	-1.0288439622178	0.348405225942674	-0.728072254496791	-0.28910266584427	0.771988099069011	-0.4505564882169	-0.532383891479365	-0.94650955250074	-1.14390423357287	-1.25557524532125	0.138490882491949	0.243494235379021	-1.22951851901212	-1.71511843640652	-1.0115925679148	-1.63992404646186	-1.01751683135336	-0.956754492782453	-1.0011469304522
RDN25-2	-0.440082606165046	-1.05185746829388	-1.1652012337523	-0.892270246823168	0.236445753717537	0.0254512348632606	-0.742013688461694	1.39468049373496	-1.26190522989917	-1.48351420988002	-0.946701798269915	-1.43927438567558	-0.693338296469095	-0.314067370024487	-0.581628243102358	-2.12271781347773	-1.13812625557125	-1.99444855899341	-0.163968494153764	-1.16400638788379	-1.56704328935384	0.172367380178213	-1.21230853672049	-1.28137627052406	-0.94650955250074	-1.14390423357287	-1.52712338554679	-0.293982141642398	-0.724987330338057	-1.22951851901212	-2.40260992610861	-1.0115925679148	-1.95615877939563	-1.98706494794034	-1.36857133585573	-1.23120670813354
RDN18-2	-1.47982959516859	-0.604228840781667	-1.9590516443781	-0.892270246823168	-0.69000703728518	-0.0672079266895932	-0.484930119603784	1.19644836506999	-1.72378439893948	-2.92802418975638	-1.1384519616777	-1.43927438567558	-1.67102818593684	-1.31981980446166	-0.443573426184976	-2.92802418975638	-1.32004127184768	-1.43232497346096	-0.965839409889357	-1.79169271030045	-0.879371153006369	-0.489828801224409	-1.21230853672049	-1.28137627052406	-2.92802418975638	-2.92802418975639	-2.29865541078365	-1.47602138917443	-0.604661934373059	-2.92802418975639	-2.01829436074301	-2.92802418975639	-2.36175698799092	-1.67724058413544	-1.94711401351429	-2.28605042793922
YLR162W-A	4.08875440395065	3.31586466992999	2.43699408205275	2.73320986839306	2.0630212894786	2.58967881640466	3.10213483778634	2.90498470232236	2.95015382002999	3.03893465998528	2.60214259294196	1.86093481502087	2.44037044519419	2.17176438494481	2.12393461559161	3.28642418414186	3.47402848406693	3.50727723427073	1.15355733698297	1.22375251258052	2.36362388351599	2.46564794861112	2.25828730861164	2.97446096178837	2.60851832016215	2.02337794442802	1.86885976029513	1.27037245980314	0.728977938001965	2.80563575098888	1.86899689397074	2.1524674503511	1.74525311239946	1.73730112558656	1.5271234416413	1.39791822046236
YLR163C	5.3554496506708	5.66468257466127	5.87046370602059	6.12638998856303	6.09393943736276	6.00747223241845	5.86612891555913	5.83739403833638	6.00750809173899	6.04973622773346	6.04142100641312	6.04176092892361	6.09541864097006	6.1136602986596	6.23429945847141	6.19390438340537	6.28969894003722	6.15290617354698	6.16353027824051	6.19188164271685	6.12220610968853	6.07846712993821	6.13697534168092	6.05999124400792	6.13000289815304	6.14530946869888	6.16249476586297	6.31400372614395	6.27980280132855	6.18861389351898	6.23554727481709	6.16909089098595	6.14582100768032	6.14880559503712	6.06428178676952	5.98281767472326
YLR163W-A	2.42103194017888	2.76542627264052	2.43699408205275	3.35723949971876	3.18001556652765	2.9853333675581	3.03186955545956	2.7543481621506	3.0430630581707	3.06841387953068	3.13485121851556	2.78578202622539	3.15346112100614	3.23549251812689	2.97234471993465	2.98016021359097	3.47402848406693	3.10782581146509	2.86143582206451	2.86687800026223	2.83571452561671	2.87751940209634	2.88963584019452	2.90064770358596	3.00651879555202	2.86329107959277	2.82814886431956	2.8822662152859	3.46949534111692	2.86527130391435	2.8311573643495	3.08006397447324	2.95860371923308	2.94203883339258	2.77573505539998	2.254236765843
YLR164W	3.0806136323027	3.83065892507112	3.89852316475676	3.57013074390919	3.35747039055804	3.05293232149446	3.36964747021919	2.64959240047917	2.91780512318009	2.68011309164679	2.77541357941924	3.04630187861697	3.09298654828148	2.96408905130605	3.32125942624773	3.18100270633393	3.27982625121372	3.32993550367932	3.18192403753009	3.06985994469431	3.40245555485865	2.94123626431395	2.97473271359787	3.21965977634501	3.23744143827851	3.13785490975636	3.05714003280678	3.02047520662422	3.52330916651407	3.82242403191797	3.51677499808051	3.84917043652772	3.75040080575268	3.61794928301954	3.64126994228799	3.7663636781036
YLR165C	3.80598742206578	3.58559734879304	3.73094575450489	3.68881739521036	3.48881485373225	3.28617213237563	2.97949860807575	3.02948981931042	3.31556375241403	3.40519903082156	3.57867180224566	3.46595838722657	3.51787626863634	3.59817154901494	3.59401383350664	3.64467034691439	3.12821497053795	3.28639827532696	3.35288902115673	3.32912690321509	3.08966696303582	3.55406055902101	3.58359433671382	3.29567700645445	3.65634012265789	3.61522633597265	3.475820727887	3.62455825357587	3.63751763033607	3.70492760322236	3.45735857338051	3.62592840839505	3.45875661782438	3.39576321384894	3.6113768209311	3.7663636781036
YLR166C	5.9921786211778	5.81014207919136	5.35594962400377	5.62315057035034	5.73237246623942	5.74502702748093	5.67518339097864	5.84757845415869	5.981659606528	6.10649392023698	6.18789257477757	6.01421057596554	6.00941283378856	6.01050993506769	5.79939108465406	5.80782658561599	5.73345323896245	5.75800979792506	5.81179690500925	5.72661402843131	5.89955577349984	5.77832793199895	5.86150311102801	5.90007443680762	5.92077287883269	5.85439727980385	6.03549328862396	5.89320047155865	5.83598007826652	5.74050812750288	5.76541402726243	5.74923795495106	5.79827682298133	5.88384685479966	5.80181383597243	5.81557475286397
